link_id,relation_type,basis,confidence,source_kind,source_standard_id,source_criterion_id,source_criterion_code,source_criterion_title,source_resource_id,source_url,target_standard_id,target_criterion_code,target_profile_ref,target_url,evidence_excerpt,source_dataset
xref-00016,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b413,B.4.1.3,Feature Deactivation Warning,,https://www.w3.org/TR/ATAG20/#sc_b413,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"The authoring tool does not include the option to turn off its accessible content support features or, if these features can be turned off, authors are informed that this may incr…",normative_text_pattern_match
xref-00017,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b421,B.4.2.1,Model Practice (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b421,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"A range of examples in the documentation (e.g. markup , screen shots of WYSIWYG editing-views ) demonstrate accessible authoring practices (WCAG) .",normative_text_pattern_match
xref-00018,direct_standard_reference,direct,high,normative_success_criterion,uaag-2.0,sc_321,3.2.1,Accessible Documentation,,https://www.w3.org/TR/UAAG20/#sc_321,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"Product documentation is available in a format that meets success criteria of WCAG 2.0 level ""A"" or greater.",normative_text_pattern_match
xref-00019,direct_standard_reference,direct,high,normative_success_criterion,uaag-2.0,sc_511,5.1.1,Comply with WCAG,,https://www.w3.org/TR/UAAG20/#sc_511,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,Web-based UA user interfaces meet the WCAG 2.0 success criteria. (Level A to meet WCAG 2.0 Level A success criteria; Level AA to meet WCAG 2.0 Level A and AA success criteria; and…,normative_text_pattern_match
xref-00020,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.1.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#non-text-content,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00021,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-only-and-video-only-prerecorded,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00022,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#captions-prerecorded,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00023,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.3,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-description-or-media-alternative-prerecorded,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00024,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#info-and-relationships,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00025,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#meaningful-sequence,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00026,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.3,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#sensory-characteristics,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00027,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.4.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#use-of-color,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00028,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.4.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-control,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00029,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.1.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#keyboard,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00030,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.1.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#no-keyboard-trap,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00031,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.1.4,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#character-key-shortcuts,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00032,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.2.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#timing-adjustable,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00033,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.2.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#pause-stop-hide,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00034,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.3.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#three-flashes-or-below-threshold,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00035,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.4.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#bypass-blocks,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00036,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.4.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#page-titled,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00037,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.4.3,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#focus-order,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00038,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.4.4,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#link-purpose-in-context,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00039,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.5.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#pointer-gestures,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00040,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.5.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#pointer-cancellation,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00041,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.5.3,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#label-in-name,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00042,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,2.5.4,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#motion-actuation,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00043,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.1.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#language-of-page,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00044,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.2.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#on-focus,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00045,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.2.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#on-input,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00046,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.2.6,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#consistent-help,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00047,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.3.1,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#error-identification,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00048,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.3.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#labels-or-instructions,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00049,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,3.3.7,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#redundant-entry,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00050,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,4.1.2,wcag22-level-a-minus-4.1.1,https://www.w3.org/TR/WCAG22/#name-role-value,ATAG crosswalk mapping via wcag22-level-a-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00051,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.1.1,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#non-text-content,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00052,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.1,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-only-and-video-only-prerecorded,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00053,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.2,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#captions-prerecorded,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00054,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.3,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-description-or-media-alternative-prerecorded,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00055,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.4,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#captions-live,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00056,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.2.5,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-description-prerecorded,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00057,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.1,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#info-and-relationships,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00058,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.2,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#meaningful-sequence,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00059,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.3,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#sensory-characteristics,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00060,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.4,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#orientation,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00061,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.3.5,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#identify-input-purpose,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00062,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.4.1,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#use-of-color,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00063,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.4.2,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#audio-control,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00064,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.4.3,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#contrast-minimum,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
xref-00065,inferred_sc_reference_cross_standard,inferred_profile_mapping,medium,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.2,1.4.4,wcag22-level-aa-minus-4.1.1,https://www.w3.org/TR/WCAG22/#resize-text,ATAG crosswalk mapping via wcag22-level-aa-minus-4.1.1,atag-to-wcag-2.2-crosswalk.yaml
